time,primary.primaryreactor.rated_power_mw,primary.primaryreactor.thermal_power_mw,primary.primaryreactor.total_reactivity_pcm,primary.primaryreactor.scram_activated,primary.primaryreactor.neutronics_neutron_flux,primary.primaryreactor.neutronics_reactivity,primary.primaryreactor.neutronics_reactivity_pcm,primary.primaryreactor.neutronics_xenon_concentration,primary.primaryreactor.neutronics_iodine_concentration,primary.primaryreactor.neutronics_samarium_concentration,primary.primaryreactor.thermal_fuel_temperature,primary.primaryreactor.thermal_coolant_temperature,primary.primaryreactor.thermal_coolant_pressure,primary.primaryreactor.thermal_coolant_flow_rate,primary.primaryreactor.thermal_coolant_void_fraction,primary.primaryreactor.thermal_thermal_power,primary.primaryreactor.steam_steam_temperature,primary.primaryreactor.steam_steam_pressure,primary.primaryreactor.steam_steam_flow_rate,primary.primaryreactor.steam_feedwater_flow_rate,primary.primaryreactor.control_control_rod_position,primary.primaryreactor.control_steam_valve_position,primary.primaryreactor.control_boron_concentration,primary.primaryreactor.control_power_level,primary.primaryreactor.safety_scram_status,primary.primaryreactor.safety_scram_activated,primary.primaryreactor.fuel_fuel_burnup,primary.primaryreactor.fuel_burnable_poison_worth
49.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,459.0,310.0,15.513222013855884,20000.0,0.0,3000.0,309.8568395775744,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
50.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,460.0,310.0,15.513429793717325,20000.0,0.0,3000.0,309.871155619817,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
51.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,461.0,310.0,15.513635495780152,20000.0,0.0,3000.0,309.8840400578353,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
52.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,462.0,310.0,15.51383914082235,20000.0,0.0,3000.0,309.89563605205177,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
53.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,463.0,310.0,15.514040749414127,20000.0,0.0,3000.0,309.90607244684657,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
54.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,464.0,310.0,15.514240341919985,20000.0,0.0,3000.0,309.9154652021619,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
55.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,465.0,310.0,15.514437938500786,20000.0,0.0,3000.0,309.9239186819457,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
56.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,466.0,310.0,15.514633559115778,20000.0,0.0,3000.0,309.93152681375113,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
57.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,467.0,310.0,15.51482722352462,20000.0,0.0,3000.0,309.938374132376,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
58.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,468.0,310.0,15.515018951289374,20000.0,0.0,3000.0,309.9445367191384,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
